Ticker,Name,ROE%,NetIncome
1332.T,ニッスイ,9.923001,27516999680
1333.T,Ｕｍｉｏｓ,9.965,22182000640
1414.T,ショーボンドホールディングス,14.635000000000002,15230000128
1417.T,ミライト・ワン,8.608,23281999872
1605.T,ＩＮＰＥＸ,8.282,376957009920
1719.T,安藤・間,15.619999000000002,29745999872
1721.T,コムシスホールディングス,9.369001,36307001344
1802.T,大林組,14.071,173759004672
1803.T,清水建設,13.411999999999999,126617001984
1808.T,長谷工コーポレーション,10.023,54839001088
1820.T,西松建設,12.372,24066000896
1860.T,戸田建設,9.923001,36980998144
1878.T,大東建託,20.537001,99029999616
1893.T,五洋建設,18.67,34692001792
1911.T,住友林業,12.991,35636998144
1925.T,大和ハウス工業,12.528,350567989248
1928.T,積水ハウス,12.644,257200996352
1942.T,関電工,16.758,63516000256
1944.T,きんでん,10.967,69447000064
1951.T,エクシオグループ,9.198,31030999040
1959.T,クラフティア,12.1429995,40052998144
1963.T,日揮ホールディングス,10.1689994,41841999872
1969.T,高砂熱学工業,19.038,37469999104
2127.T,日本Ｍ＆Ａセンターホールディングス,25.480999999999998,12487000064
2181.T,パーソルホールディングス,20.127001,42688000000
2201.T,森永製菓,12.989999999999998,17764999168
2212.T,山崎製パン,9.090999499999999,41844998144
2222.T,寿スピリッツ,28.531997999999998,12556999680
2229.T,カルビー,8.046000000000001,17329000448
2264.T,森永乳業,8.2720004,22599000064
2327.T,日鉄ソリューションズ,11.517,30832001024
2331.T,ＡＬＳＯＫ,8.772001,33262000128
2371.T,カカクコム,29.622,18802999296
2413.T,エムスリー,12.577,49100001280
2503.T,キリンホールディングス,12.194,150281994240
2587.T,サントリー食品インターナショナル,8.100999999999999,88224997376
2670.T,エービーシー・マート,12.072,46345998336
2768.T,双日,9.961,103610998784
2784.T,アルフレッサ　ホールディングス,8.449,41746001920
2801.T,キッコーマン,11.459,61615001600
2802.T,味の素,17.503001,134674997248
285A.T,キオクシアホールディングス,51.9,554490003456
2871.T,ニチレイ,9.937,27331999744
2875.T,東洋水産,13.586001,70187999232
2897.T,日清食品ホールディングス,9.2,45380001792
2914.T,日本たばこ産業,13.618,540890005504
3003.T,ヒューリック,12.989999999999998,115299999744
3038.T,神戸物産,18.132,27200000000
3048.T,ビックカメラ,10.7480004,19568001024
3088.T,マツキヨココカラ＆カンパニー,10.526,55776002048
3092.T,ＺＯＺＯ,46.643,47926001664
3099.T,三越伊勢丹ホールディングス,12.443,76095995904
3107.T,ダイワボウホールディングス,19.885998999999998,32029999104
3132.T,マクニカホールディングス,10.3690006,27765000192
3197.T,すかいらーくホールディングス,9.814,17910999040
3231.T,野村不動産ホールディングス,10.6750004,82880004096
3288.T,オープンハウスグループ,20.129,111091998720
3289.T,東急不動産ホールディングス,11.184,96696999936
3349.T,コスモス薬品,11.999,31382999040
3360.T,シップヘルスケアホールディングス,8.924999999999999,13393999872
3407.T,旭化成,8.0170006,158793007104
3549.T,クスリのアオキホールディングス,13.459999999999999,19227000832
3563.T,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,29.883,28856000512
3626.T,ＴＩＳ,14.008000000000001,46623997952
3635.T,コーエーテクモホールディングス,18.542999,42830000128
3659.T,ネクソン,11.564,123005001728
3697.T,ＳＨＩＦＴ,22.631999999999998,8453000192
3769.T,ＧＭＯペイメントゲートウェイ,21.790001,24021999616
3774.T,インターネットイニシアティブ,16.188,24188000256
3923.T,ラクス,55.375,13292999680
3994.T,マネーフォワード,8.663999,4535398912
4005.T,住友化学,9.9870004,60947001344
4021.T,日産化学,20.393998999999997,49706999808
4062.T,イビデン,12.167,63713001472
4063.T,信越化学工業,10.6800005,474459013120
4091.T,日本酸素ホールディングス,11.21,123890999296
4151.T,協和キリン,8.457,72906997760
417A.T,ブルーゾーンホールディングス,12.413,23595999232
4194.T,ビジョナル,26.342,17796999168
4203.T,住友ベークライト,8.806,28014000128
4205.T,日本ゼオン,9.865,36225998848
4206.T,アイカ工業,10.193000000000001,18532999168
4272.T,日本化薬,9.008,24640999424
4385.T,メルカリ,32.965,33813000192
4401.T,ＡＤＥＫＡ,8.769,27865999360
4403.T,日油,14.116999999999999,40549998592
4452.T,花王,11.928999999999998,128229998592
4503.T,アステラス製薬,17.438000000000002,291534995456
4506.T,住友ファーマ,46.266996999999996,106865000448
4507.T,塩野義製薬,13.508001,205159006208
4516.T,日本新薬,11.027000000000001,29720999936
4519.T,中外製薬,23.707000999999998,452196007936
4527.T,ロート製薬,11.635,34247000064
4528.T,小野薬品工業,8.501001,69766995968
4536.T,参天製薬,12.925,37360001024
4540.T,ツムラ,8.62,28117000192
4543.T,テルモ,9.205,135913996288
4568.T,第一三共,15.809000000000001,259873996800
4578.T,大塚ホールディングス,12.943,376501010432
4612.T,日本ペイントホールディングス,11.474,195625992192
4613.T,関西ペイント,9.4639994,31640999936
4626.T,太陽ホールディングス,21.951,24010999808
4631.T,ＤＩＣ,10.2110006,45447999488
4666.T,パーク２４,21.389,16547000320
4680.T,ラウンドワン,22.233,16620999680
4681.T,リゾートトラスト,13.272001,20912001024
4684.T,オービック,15.831999999999999,75191001088
4704.T,トレンドマイクロ,33.821,37440000000
4716.T,日本オラクル,37.396,62797000704
4732.T,ユー・エス・エス,20.034,41359998976
4733.T,オービックビジネスコンサルタント,11.043999,18132000768
4751.T,サイバーエージェント,21.073,43140001792
4768.T,大塚商会,17.781,66500001792
4912.T,ライオン,9.568,27766999040
4980.T,デクセリアルズ,27.289,28009000960
5020.T,ＥＮＥＯＳホールディングス,8.5,258726002688
5021.T,コスモエネルギーホールディングス,11.3970004,74023002112
5076.T,インフロニア・ホールディングス,13.163,76572999680
5101.T,横浜ゴム,11.841,111589998592
5105.T,ＴＯＹＯ　ＴＩＲＥ,13.172,65585000448
5108.T,ブリヂストン,9.286999999999999,333335986176
5110.T,住友ゴム工業,8.461001,55382999040
5334.T,日本特殊陶業,16.108998999999997,112892002304
5344.T,ＭＡＲＵＷＡ,13.204001000000002,18162999296
5393.T,ニチアス,13.927999999999999,31633999872
5444.T,大和工業,10.795,62388998144
5631.T,日本製鋼所,9.475999999999999,19239000064
5706.T,三井金属,24.741,91263000576
5713.T,住友金属鉱山,8.695,176290004992
5714.T,ＤＯＷＡホールディングス,14.482999999999999,62457999360
5801.T,古河電気工業,18.773001,72514002944
5802.T,住友電気工業,14.953,369507991552
5803.T,フジクラ,31.511,157162995712
5830.T,いよぎんホールディングス,8.838,74253000704
5838.T,楽天銀行,20.291999999999998,73072001024
5844.T,京都フィナンシャルグループ,8.716,96723001344
5929.T,三和ホールディングス,17.823,59776000000
5947.T,リンナイ,9.062000000000001,36160000000
6005.T,三浦工業,12.245000000000001,27620999168
6098.T,リクルートホールディングス,30.830999999999996,496912007168
6136.T,オーエスジー,9.29,16764999680
6269.T,三井海洋開発,32.432997,398560768
6273.T,ＳＭＣ,8.274999,167302004736
6301.T,小松製作所,11.3900006,376190992384
6305.T,日立建機,9.119,73192996864
6323.T,ローツェ,13.017999999999999,19047999488
6326.T,クボタ,8.871,218625998848
6361.T,荏原製作所,9.571999,25016999936
6367.T,ダイキン工業,9.261999999999999,275229016064
6368.T,オルガノ,21.504,28401000448
6370.T,栗田工業,11.790000000000001,39894999040
6417.T,ＳＡＮＫＹＯ,17.471999999999998,46751997952
6436.T,アマノ,14.680000000000001,20145999872
6448.T,ブラザー工業,8.583,62586998784
6465.T,ホシザキ,10.029,38515998720
6479.T,ミネベアミツミ,11.915000000000001,99033997312
6501.T,日立製作所,13.299,802367995904
6503.T,三菱電機,9.964,407758012416
6504.T,富士電機,12.889999999999999,98030002176
6525.T,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,14.49,30098999296
6532.T,ベイカレント,35.793,37839998976
6544.T,ジャパンエレベーターサービスホールディングス,32.519999999999996,7319000064
6586.T,マキタ,8.202,79414001664
6592.T,マブチモーター,8.934000000000001,28747999232
6632.T,ＪＶＣケンウッド,12.0699994,16787000320
6674.T,ジーエス・ユアサ　コーポレーション,11.376999999999999,41863000064
6701.T,日本電気,12.556999999999999,270227996672
6702.T,富士通,15.623000000000001,303069003776
6753.T,シャープ,20.855999999999998,47433998336
6754.T,アンリツ,9.088001,11676999680
6758.T,ソニーグループ,12.367,1030893010944
6762.T,ＴＤＫ,9.922,195663003648
6806.T,ヒロセ電機,8.859,33141999616
6841.T,横河電機,12.125,58112999424
6845.T,アズビル,15.73,38564999168
6849.T,日本光電工業,8.0690004,14513000448
6856.T,堀場製作所,11.576,37632999424
6857.T,アドバンテスト,57.646,375353016320
6902.T,デンソー,8.941,443755003904
6920.T,レーザーテック,44.080000000000005,88780996608
6951.T,日本電子,15.697,22097000448
6952.T,カシオ計算機,8.0170006,18226999296
6954.T,ファナック,9.352,166542999552
6981.T,村田製作所,8.826,233829007360
6988.T,日東電工,12.171999999999999,133498003456
7003.T,三井Ｅ＆Ｓ,19.062,38456000512
7011.T,三菱重工業,12.579,344574001152
7013.T,ＩＨＩ,27.763999000000002,160992002048
7164.T,全国保証,13.444999999999999,32526000128
7167.T,めぶきフィナンシャルグループ,8.239,84163002368
7202.T,いすゞ自動車,10.679,134875996160
7203.T,トヨタ自動車,10.233,3848098021376
7259.T,アイシン,8.5559994,171696996352
7269.T,スズキ,13.873,439267000320
7282.T,豊田合成,11.326,62008999936
7337.T,ひろぎんホールディングス,8.151,43733999616
7458.T,第一興商,13.225001,15889000448
7476.T,アズワン,13.314,9178999808
7550.T,ゼンショーホールディングス,15.738,43194998784
7649.T,スギホールディングス,16.621,44982001664
7701.T,島津製作所,11.3800004,60499001344
7729.T,東京精密,13.453001,24739000320
7733.T,オリンパス,8.719000000000001,68172001280
7735.T,ＳＣＲＥＥＮホールディングス,20.278999,92003000320
7741.T,ＨＯＹＡ,25.062,253085007872
7747.T,朝日インテック,19.239001000000002,30631000064
7751.T,キヤノン,9.372,308125007872
7832.T,バンダイナムコホールディングス,17.034,140651003904
7846.T,パイロットコーポレーション,9.350999999999999,12885000192
7867.T,タカラトミー,10.735999999999999,11678999552
7912.T,大日本印刷,8.6260006,103959003136
7936.T,アシックス,40.855000000000004,113640996864
7956.T,ピジョン,10.804,8547999744
7974.T,任天堂,14.931,424055996416
7984.T,コクヨ,8.267,21552001024
7988.T,ニフコ,12.163,34079000576
8001.T,伊藤忠商事,13.91,900282974208
8002.T,丸紅,13.502,543852003328
8012.T,長瀬産業,8.0690004,33119000576
8015.T,豊田通商,13.203000000000001,370516000768
8020.T,兼松,16.155,32522999808
8031.T,三井物産,10.301,833971027968
8035.T,東京エレクトロン,29.270000000000003,574453972992
8053.T,住友商事,13.517999999999999,599847010304
8056.T,ＢＩＰＲＯＧＹ,17.875,31209000960
8058.T,三菱商事,8.984999,800459980800
8060.T,キヤノンマーケティングジャパン,11.684,45448998912
8088.T,岩谷産業,11.615,47665999872
8111.T,ゴールドウイン,19.985001,24093999104
8174.T,日本瓦斯,22.017999,14814999552
8227.T,しまむら,8.985999999999999,44459999232
8242.T,エイチ・ツー・オー　リテイリング,9.652001,29949999104
8253.T,クレディセゾン,8.5039996,62750998528
8303.T,ＳＢＩ新生銀行,10.306999999999999,113414995968
8306.T,三菱ＵＦＪフィナンシャル・グループ,11.911,2427229044736
8308.T,りそなホールディングス,9.156,258717007872
8309.T,三井住友トラストグループ,9.5419995,317565992960
