Ticker,Name,Sector
1332.T,ニッスイ,水産・農林業
1333.T,Ｕｍｉｏｓ,水産・農林業
1414.T,ショーボンドホールディングス,建設業
1417.T,ミライト・ワン,建設業
1605.T,ＩＮＰＥＸ,鉱業
1719.T,安藤・間,建設業
1721.T,コムシスホールディングス,建設業
1801.T,大成建設,建設業
1802.T,大林組,建設業
1803.T,清水建設,建設業
1808.T,長谷工コーポレーション,建設業
1812.T,鹿島建設,建設業
1820.T,西松建設,建設業
1860.T,戸田建設,建設業
1878.T,大東建託,不動産業
1893.T,五洋建設,建設業
1911.T,住友林業,建設業
1925.T,大和ハウス工業,建設業
1928.T,積水ハウス,建設業
1942.T,関電工,建設業
1944.T,きんでん,建設業
1951.T,エクシオグループ,建設業
1959.T,クラフティア,建設業
1963.T,日揮ホールディングス,建設業
1969.T,高砂熱学工業,建設業
2002.T,日清製粉グループ本社,食料品
2127.T,日本Ｍ＆Ａセンターホールディングス,サービス業
2181.T,パーソルホールディングス,サービス業
2201.T,森永製菓,食料品
2206.T,江崎グリコ,食料品
2212.T,山崎製パン,食料品
2222.T,寿スピリッツ,食料品
2229.T,カルビー,食料品
2264.T,森永乳業,食料品
2267.T,ヤクルト本社,食料品
2269.T,明治ホールディングス,食料品
2282.T,日本ハム,食料品
2327.T,日鉄ソリューションズ,情報・通信業
2331.T,ＡＬＳＯＫ,サービス業
2371.T,カカクコム,サービス業
2413.T,エムスリー,サービス業
2432.T,ディー・エヌ・エー,情報・通信業
2433.T,博報堂ＤＹホールディングス,サービス業
2501.T,サッポロホールディングス,食料品
2502.T,アサヒグループホールディングス,食料品
2503.T,キリンホールディングス,食料品
2531.T,宝ホールディングス,食料品
2579.T,コカ・コーラ　ボトラーズジャパンホールディングス,食料品
2587.T,サントリー食品インターナショナル,食料品
2593.T,伊藤園,食料品
2607.T,不二製油,食料品
2670.T,エービーシー・マート,小売業
2768.T,双日,卸売業
2784.T,アルフレッサ　ホールディングス,卸売業
2801.T,キッコーマン,食料品
2802.T,味の素,食料品
2809.T,キユーピー,食料品
2810.T,ハウス食品グループ本社,食料品
2811.T,カゴメ,食料品
285A.T,キオクシアホールディングス,電気機器
2871.T,ニチレイ,食料品
2875.T,東洋水産,食料品
2897.T,日清食品ホールディングス,食料品
2914.T,日本たばこ産業,食料品
3003.T,ヒューリック,不動産業
3038.T,神戸物産,卸売業
3048.T,ビックカメラ,小売業
3064.T,ＭｏｎｏｔａＲＯ,小売業
3086.T,Ｊ．フロント　リテイリング,小売業
3088.T,マツキヨココカラ＆カンパニー,小売業
3092.T,ＺＯＺＯ,小売業
3099.T,三越伊勢丹ホールディングス,小売業
3105.T,日清紡ホールディングス,電気機器
3107.T,ダイワボウホールディングス,卸売業
3116.T,トヨタ紡織,輸送用機器
3132.T,マクニカホールディングス,卸売業
3197.T,すかいらーくホールディングス,小売業
3231.T,野村不動産ホールディングス,不動産業
3288.T,オープンハウスグループ,不動産業
3289.T,東急不動産ホールディングス,不動産業
3291.T,飯田グループホールディングス,不動産業
3349.T,コスモス薬品,小売業
3360.T,シップヘルスケアホールディングス,卸売業
3382.T,セブン＆アイ・ホールディングス,小売業
3391.T,ツルハホールディングス,小売業
3397.T,トリドールホールディングス,小売業
3401.T,帝人,繊維製品
3402.T,東レ,繊維製品
3405.T,クラレ,化学
3407.T,旭化成,化学
3436.T,ＳＵＭＣＯ,金属製品
3549.T,クスリのアオキホールディングス,小売業
3563.T,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,小売業
3591.T,ワコールホールディングス,繊維製品
3626.T,ＴＩＳ,情報・通信業
3635.T,コーエーテクモホールディングス,情報・通信業
3659.T,ネクソン,情報・通信業
3697.T,ＳＨＩＦＴ,情報・通信業
3769.T,ＧＭＯペイメントゲートウェイ,情報・通信業
3774.T,インターネットイニシアティブ,情報・通信業
3861.T,王子ホールディングス,パルプ・紙
3923.T,ラクス,情報・通信業
3941.T,レンゴー,パルプ・紙
3994.T,マネーフォワード,情報・通信業
4004.T,レゾナック・ホールディングス,化学
4005.T,住友化学,化学
4021.T,日産化学,化学
4042.T,東ソー,化学
4043.T,トクヤマ,化学
4045.T,東亞合成,化学
4061.T,デンカ,化学
4062.T,イビデン,電気機器
4063.T,信越化学工業,化学
4088.T,エア・ウォーター,化学
4091.T,日本酸素ホールディングス,化学
4114.T,日本触媒,化学
